hcp_id,hcp_name,specialty,decile,segment,territory_id,territory_name,rep_id,rep_name,city,province
HCP000017,John Ryan,Oncology,5,Medium,T004,Territory 004,REP004,Daniel Wagner,Sanchezfort,Yukon Territory
HCP000018,Brandon Hopkins,Neurology,4,Medium,T017,Territory 017,REP017,Holly Wood,Rodneymouth,Saskatchewan
HCP000019,Matthew Lucas,Primary Care,8,High,T017,Territory 017,REP017,Holly Wood,South Jessicaville,New Brunswick
HCP000020,Joshua Taylor,Primary Care,7,Medium,T008,Territory 008,REP008,Gina Moore,West Steven,British Columbia
HCP000021,Scott Pierce,Oncology,3,Low,T017,Territory 017,REP017,Holly Wood,Lake Yvettetown,British Columbia
HCP000022,Sarah Martin,Oncology,7,Medium,T001,Territory 001,REP001,Allison Hill,Olsonfurt,Alberta
HCP000023,Aaron Myers,Endocrinology,8,High,T012,Territory 012,REP012,Jamie Arnold,Mitchellside,Quebec
HCP000024,Brittney Phillips,Primary Care,3,Low,T010,Territory 010,REP010,Ryan Munoz,New Jillton,Saskatchewan
HCP000025,Anthony Woods,Endocrinology,7,Medium,T014,Territory 014,REP014,Michele Williams,North Susan,British Columbia
HCP000026,Andrea Jones,Endocrinology,7,Medium,T010,Territory 010,REP010,Ryan Munoz,South David,Prince Edward Island
HCP000027,Kristopher Harvey,Primary Care,6,Medium,T002,Territory 002,REP002,Noah Rhodes,Sandovalshire,Ontario
HCP000028,Dean Santiago,Cardiology,1,Low,T012,Territory 012,REP012,Jamie Arnold,Johnfurt,Manitoba
HCP000029,Elizabeth Stewart,Neurology,3,Low,T006,Territory 006,REP006,Connie Lawrence,North Stephenshire,British Columbia
HCP000030,Daniel Baker,Primary Care,4,Medium,T009,Territory 009,REP009,Gabrielle Davis,Nicolebury,Northwest Territories
HCP000031,Jeffrey Daniels,Endocrinology,4,Medium,T019,Territory 019,REP019,Lisa Jackson,Cherylhaven,Alberta
HCP000032,Kristen Huynh,Oncology,6,Medium,T006,Territory 006,REP006,Connie Lawrence,East Josephville,Saskatchewan
HCP000033,Denise Jacobs,Neurology,7,Medium,T009,Territory 009,REP009,Gabrielle Davis,Jamesview,Ontario
HCP000034,Taylor Mathis Jr.,Primary Care,3,Low,T009,Territory 009,REP009,Gabrielle Davis,Calderonton,Alberta
HCP000035,Carlos Whitney,Cardiology,2,Low,T016,Territory 016,REP016,Brian Ramirez,Lake Scott,Saskatchewan
HCP000036,Adam Jones,Cardiology,3,Low,T015,Territory 015,REP015,Dylan Miller,New Barry,Northwest Territories
HCP000037,Brittany Anderson,Cardiology,3,Low,T010,Territory 010,REP010,Ryan Munoz,Michaelton,Northwest Territories
HCP000038,David Garcia,Primary Care,5,Medium,T014,Territory 014,REP014,Michele Williams,Dicksonberg,New Brunswick
HCP000039,Vanessa Cochran,Primary Care,6,Medium,T013,Territory 013,REP013,Lisa Hensley,Johnsonmouth,Yukon Territory
HCP000040,Rebekah Shields,Pulmonology,2,Low,T008,Territory 008,REP008,Gina Moore,West Erik,Saskatchewan
HCP000041,Shane Garrison,Primary Care,9,High,T010,Territory 010,REP010,Ryan Munoz,East Lisa,Nunavut
HCP000042,Robert Savage,Oncology,10,High,T014,Territory 014,REP014,Michele Williams,North Donna,Nova Scotia
HCP000043,Sean Rasmussen,Primary Care,7,Medium,T016,Territory 016,REP016,Brian Ramirez,Michaelhaven,Nova Scotia
HCP000044,Sarah Rivera,Pulmonology,2,Low,T009,Territory 009,REP009,Gabrielle Davis,North Natalieview,Manitoba
HCP000045,Victoria Johnson,Primary Care,5,Medium,T015,Territory 015,REP015,Dylan Miller,Reedmouth,Nova Scotia
HCP000046,Kayla Cruz,Primary Care,6,Medium,T005,Territory 005,REP005,Cristian Santos,West Bradley,Nova Scotia
HCP000047,Timothy Ryan,Oncology,8,High,T001,Territory 001,REP001,Allison Hill,West Ryan,Quebec
HCP000048,Lisa Alvarado,Endocrinology,5,Medium,T016,Territory 016,REP016,Brian Ramirez,Lake Rachelhaven,Newfoundland and Labrador
HCP000049,Erika Terry,Primary Care,6,Medium,T002,Territory 002,REP002,Noah Rhodes,East Robert,Nova Scotia
HCP000050,Stephanie Gilbert,Primary Care,5,Medium,T013,Territory 013,REP013,Lisa Hensley,Richardtown,Newfoundland and Labrador
HCP000051,Jeffrey Carpenter,Primary Care,5,Medium,T004,Territory 004,REP004,Daniel Wagner,Stevenmouth,Quebec
HCP000052,John Santana,Endocrinology,2,Low,T007,Territory 007,REP007,Abigail Shaffer,Lake Christopher,Ontario
HCP000053,Lisa Davis,Endocrinology,3,Low,T006,Territory 006,REP006,Connie Lawrence,Lake Lance,Yukon Territory
HCP000054,Alexander Sanchez,Endocrinology,4,Medium,T019,Territory 019,REP019,Lisa Jackson,Carrland,Nunavut
HCP000055,Mark Lee,Cardiology,1,Low,T004,Territory 004,REP004,Daniel Wagner,Snyderbury,Manitoba
HCP000056,Abigail Potter,Primary Care,8,High,T020,Territory 020,REP020,Carla Gray,Port Ronaldburgh,Yukon Territory
HCP000057,Kelly Williams,Pulmonology,5,Medium,T014,Territory 014,REP014,Michele Williams,Port David,Manitoba
HCP000058,Mary Travis,Cardiology,6,Medium,T010,Territory 010,REP010,Ryan Munoz,Stephaniemouth,Prince Edward Island
HCP000059,Stephanie Simmons,Cardiology,4,Medium,T020,Territory 020,REP020,Carla Gray,Merrittfort,Nunavut
HCP000060,David Walsh,Primary Care,5,Medium,T007,Territory 007,REP007,Abigail Shaffer,Simsview,Nunavut
HCP000061,Dustin Nelson,Primary Care,8,High,T001,Territory 001,REP001,Allison Hill,Patricialand,Manitoba
HCP000062,James Hernandez,Primary Care,6,Medium,T018,Territory 018,REP018,Derek Zuniga,North Robert,Northwest Territories
HCP000063,Jennifer Clark,Endocrinology,7,Medium,T003,Territory 003,REP003,Angie Henderson,Priceshire,Saskatchewan
HCP000064,Spencer Johnston,Oncology,7,Medium,T006,Territory 006,REP006,Connie Lawrence,Smithstad,Newfoundland and Labrador
HCP000065,Sarah Ashley,Primary Care,2,Low,T013,Territory 013,REP013,Lisa Hensley,Medinaside,Yukon Territory
HCP000066,Connie Robinson,Endocrinology,1,Low,T019,Territory 019,REP019,Lisa Jackson,Tuckerfurt,Northwest Territories
HCP000067,Rebecca Ramsey,Neurology,5,Medium,T007,Territory 007,REP007,Abigail Shaffer,Calhounside,Alberta
HCP000068,Leslie Alvarado,Pulmonology,4,Medium,T017,Territory 017,REP017,Holly Wood,Lake Roymouth,Manitoba
HCP000069,James Lewis,Primary Care,4,Medium,T013,Territory 013,REP013,Lisa Hensley,Matthewfurt,Newfoundland and Labrador
HCP000070,Sandra King,Primary Care,9,High,T011,Territory 011,REP011,Monica Herrera,South Andrewside,Alberta
HCP000071,Mrs. Marie Harrington DDS,Pulmonology,1,Low,T006,Territory 006,REP006,Connie Lawrence,East Jamestown,Prince Edward Island
HCP000072,Cameron Caldwell,Oncology,9,High,T009,Territory 009,REP009,Gabrielle Davis,South Holly,Yukon Territory
HCP000073,Larry Stuart,Cardiology,9,High,T005,Territory 005,REP005,Cristian Santos,Port Loriport,British Columbia
HCP000074,Tanya Johnston,Oncology,4,Medium,T018,Territory 018,REP018,Derek Zuniga,Sandersborough,British Columbia
HCP000075,Sandra Sanchez,Primary Care,7,Medium,T009,Territory 009,REP009,Gabrielle Davis,Melissaville,Yukon Territory
HCP000076,Dr. Hannah Patterson,Primary Care,7,Medium,T008,Territory 008,REP008,Gina Moore,Caseymouth,Alberta
HCP000077,Samantha Garcia,Primary Care,9,High,T019,Territory 019,REP019,Lisa Jackson,Cynthiamouth,Saskatchewan
HCP000078,Christopher Boyd,Primary Care,8,High,T005,Territory 005,REP005,Cristian Santos,Christinaside,Yukon Territory
HCP000079,Mr. Nicholas Adams,Neurology,3,Low,T008,Territory 008,REP008,Gina Moore,Port Sarah,Newfoundland and Labrador
HCP000080,Dana Marshall,Primary Care,3,Low,T012,Territory 012,REP012,Jamie Arnold,Rogersfort,Northwest Territories
HCP000081,Daniel Salinas,Cardiology,8,High,T007,Territory 007,REP007,Abigail Shaffer,Joshuaview,Ontario
HCP000082,Travis Miller,Primary Care,3,Low,T020,Territory 020,REP020,Carla Gray,Freemanbury,Saskatchewan
HCP000083,Michael West,Endocrinology,3,Low,T006,Territory 006,REP006,Connie Lawrence,North Kellyfurt,Saskatchewan
HCP000084,Matthew Wood,Cardiology,2,Low,T003,Territory 003,REP003,Angie Henderson,Ronaldside,Northwest Territories
HCP000085,Jesse Parker,Primary Care,7,Medium,T016,Territory 016,REP016,Brian Ramirez,North Jennifer,Northwest Territories
HCP000086,Joshua Gill,Oncology,8,High,T012,Territory 012,REP012,Jamie Arnold,East Javier,Nunavut
HCP000087,Kevin Wolf,Primary Care,7,Medium,T017,Territory 017,REP017,Holly Wood,Tinaborough,Newfoundland and Labrador
HCP000088,Christopher Smith,Cardiology,9,High,T003,Territory 003,REP003,Angie Henderson,West Brandon,Alberta
HCP000089,Melissa Martinez,Endocrinology,4,Medium,T003,Territory 003,REP003,Angie Henderson,Garciatown,Prince Edward Island
HCP000090,John Peterson,Primary Care,10,High,T010,Territory 010,REP010,Ryan Munoz,West Shelleyfort,British Columbia
HCP000091,Jennifer Jones,Endocrinology,9,High,T010,Territory 010,REP010,Ryan Munoz,East Edwardshire,Newfoundland and Labrador
HCP000092,David Grant,Primary Care,6,Medium,T001,Territory 001,REP001,Allison Hill,Obrienbury,Yukon Territory
HCP000093,Joanna Ramos,Pulmonology,3,Low,T015,Territory 015,REP015,Dylan Miller,Torreston,Prince Edward Island
HCP000094,Annette Farmer,Pulmonology,6,Medium,T009,Territory 009,REP009,Gabrielle Davis,West Donna,Manitoba
HCP000095,Juan Moore,Oncology,8,High,T009,Territory 009,REP009,Gabrielle Davis,Hayesfort,Newfoundland and Labrador
HCP000096,Dwayne Campbell,Primary Care,1,Low,T010,Territory 010,REP010,Ryan Munoz,Jonesbury,Newfoundland and Labrador
HCP000097,Lori Guerrero,Primary Care,8,High,T006,Territory 006,REP006,Connie Lawrence,South Danny,New Brunswick
HCP000098,Susan Serrano,Endocrinology,6,Medium,T016,Territory 016,REP016,Brian Ramirez,North Gabrielport,Prince Edward Island
HCP000099,Laura Roberts,Cardiology,8,High,T016,Territory 016,REP016,Brian Ramirez,South Haleyfurt,Newfoundland and Labrador
HCP000100,Katherine Miller,Cardiology,5,Medium,T013,Territory 013,REP013,Lisa Hensley,South Jessicaview,Alberta
HCP000101,Vernon Huff,Cardiology,7,Medium,T020,Territory 020,REP020,Carla Gray,Port Emilyview,Prince Edward Island
HCP000102,Peter Ruiz,Primary Care,4,Medium,T018,Territory 018,REP018,Derek Zuniga,Moonburgh,Prince Edward Island
HCP000103,Robert Costa,Primary Care,7,Medium,T017,Territory 017,REP017,Holly Wood,Baileymouth,Northwest Territories
HCP000104,Shannon Rivera,Endocrinology,2,Low,T017,Territory 017,REP017,Holly Wood,Robertsfurt,Yukon Territory
HCP000105,Jordan Edwards,Primary Care,3,Low,T004,Territory 004,REP004,Daniel Wagner,Darrellfurt,Ontario
HCP000106,April Booth,Pulmonology,3,Low,T017,Territory 017,REP017,Holly Wood,Gutierrezborough,Ontario
HCP000107,Peter Garrett,Primary Care,3,Low,T004,Territory 004,REP004,Daniel Wagner,East Josephberg,Newfoundland and Labrador
HCP000108,Michael Martinez,Primary Care,2,Low,T006,Territory 006,REP006,Connie Lawrence,Lake Eric,Ontario
HCP000109,Jason Walker,Primary Care,2,Low,T004,Territory 004,REP004,Daniel Wagner,South Staceyberg,Nunavut
HCP000110,Dorothy Thornton,Endocrinology,6,Medium,T004,Territory 004,REP004,Daniel Wagner,Davenportfort,New Brunswick
HCP000111,Charles Lee,Cardiology,5,Medium,T017,Territory 017,REP017,Holly Wood,Port Chad,Yukon Territory
HCP000112,Jennifer Villa,Neurology,9,High,T007,Territory 007,REP007,Abigail Shaffer,Loriport,Saskatchewan
HCP000113,Kevin Duarte,Primary Care,1,Low,T010,Territory 010,REP010,Ryan Munoz,Grimesmouth,Ontario
HCP000114,Mr. Phillip Bennett,Endocrinology,4,Medium,T004,Territory 004,REP004,Daniel Wagner,Mollybury,Prince Edward Island
HCP000115,Scott Jenkins,Cardiology,5,Medium,T006,Territory 006,REP006,Connie Lawrence,Juliefurt,Nova Scotia
HCP000116,Rebecca Pearson MD,Primary Care,6,Medium,T001,Territory 001,REP001,Allison Hill,East Wayneshire,Northwest Territories
HCP000117,Shelly Alexander,Pulmonology,8,High,T003,Territory 003,REP003,Angie Henderson,Smithberg,Nova Scotia
HCP000118,Tracy Jones,Neurology,2,Low,T002,Territory 002,REP002,Noah Rhodes,Matthewfurt,Quebec
HCP000119,Gary Craig,Neurology,9,High,T005,Territory 005,REP005,Cristian Santos,Finleyfort,Ontario
HCP000120,Barry Welch,Endocrinology,8,High,T020,Territory 020,REP020,Carla Gray,Wendyland,Nova Scotia
HCP000121,Paige Padilla,Cardiology,8,High,T015,Territory 015,REP015,Dylan Miller,South Garrettport,Alberta
HCP000122,Robert Carter,Neurology,6,Medium,T003,Territory 003,REP003,Angie Henderson,Ryanbury,Ontario
HCP000123,Michael White,Endocrinology,5,Medium,T016,Territory 016,REP016,Brian Ramirez,North Chelsea,Nova Scotia
HCP000124,Cynthia Durham,Primary Care,4,Medium,T008,Territory 008,REP008,Gina Moore,East Steven,Newfoundland and Labrador
HCP000125,Michael Nolan,Primary Care,5,Medium,T004,Territory 004,REP004,Daniel Wagner,Santanaside,Manitoba
HCP000126,Tony Huerta,Cardiology,5,Medium,T009,Territory 009,REP009,Gabrielle Davis,Daniellechester,Saskatchewan
HCP000127,Ryan Gonzalez,Endocrinology,4,Medium,T009,Territory 009,REP009,Gabrielle Davis,Castanedaville,New Brunswick
HCP000128,Ian Phillips,Pulmonology,4,Medium,T008,Territory 008,REP008,Gina Moore,Andrewfurt,Newfoundland and Labrador
HCP000129,Sean Osborne,Primary Care,9,High,T018,Territory 018,REP018,Derek Zuniga,New Julieport,Yukon Territory
HCP000130,Lisa Gomez,Neurology,6,Medium,T010,Territory 010,REP010,Ryan Munoz,New John,Yukon Territory
HCP000131,Mary Massey,Cardiology,7,Medium,T005,Territory 005,REP005,Cristian Santos,Lake Debbieport,Yukon Territory
HCP000132,Kevin Oconnor,Primary Care,6,Medium,T017,Territory 017,REP017,Holly Wood,West Markchester,Manitoba
HCP000133,Richard Walter,Endocrinology,7,Medium,T001,Territory 001,REP001,Allison Hill,Alyssaview,Manitoba
HCP000134,Roger Olson,Primary Care,8,High,T005,Territory 005,REP005,Cristian Santos,Juliemouth,Yukon Territory
HCP000135,Victor Taylor,Oncology,6,Medium,T013,Territory 013,REP013,Lisa Hensley,Port Erica,Quebec
HCP000136,Tracy Ballard,Pulmonology,2,Low,T002,Territory 002,REP002,Noah Rhodes,Christopherfurt,Alberta
HCP000137,Caleb Richardson,Neurology,3,Low,T020,Territory 020,REP020,Carla Gray,Brendastad,British Columbia
HCP000138,Kaitlyn Harvey,Oncology,6,Medium,T020,Territory 020,REP020,Carla Gray,Rosebury,Quebec
HCP000139,Rodney Blankenship,Primary Care,8,High,T019,Territory 019,REP019,Lisa Jackson,Debraville,Manitoba
HCP000140,Andrew Ferrell,Primary Care,6,Medium,T019,Territory 019,REP019,Lisa Jackson,North Jimmyside,Manitoba
HCP000141,Jacob Avery,Endocrinology,6,Medium,T004,Territory 004,REP004,Daniel Wagner,Matthewsberg,Nova Scotia
HCP000142,Sandra Gilbert,Cardiology,6,Medium,T004,Territory 004,REP004,Daniel Wagner,Antoniostad,New Brunswick
HCP000143,Trevor Foley,Oncology,6,Medium,T015,Territory 015,REP015,Dylan Miller,Lake Michaelstad,Alberta
HCP000144,Colton Martinez,Endocrinology,5,Medium,T016,Territory 016,REP016,Brian Ramirez,Davisborough,Quebec
HCP000145,Tricia Williams,Primary Care,9,High,T017,Territory 017,REP017,Holly Wood,Johnberg,Yukon Territory
HCP000146,Andrea Hubbard,Endocrinology,2,Low,T003,Territory 003,REP003,Angie Henderson,New Jason,New Brunswick
HCP000147,Charles Lester,Endocrinology,5,Medium,T019,Territory 019,REP019,Lisa Jackson,West Micheleberg,Manitoba
HCP000148,Rebecca Rodriguez,Neurology,4,Medium,T016,Territory 016,REP016,Brian Ramirez,East Alexisbury,Prince Edward Island
HCP000149,Christopher Williams,Cardiology,7,Medium,T013,Territory 013,REP013,Lisa Hensley,Foxland,Nunavut
HCP000150,Ivan Wheeler,Primary Care,4,Medium,T006,Territory 006,REP006,Connie Lawrence,Gordonton,Saskatchewan
HCP000151,Sharon Boyd,Cardiology,3,Low,T002,Territory 002,REP002,Noah Rhodes,Schneidertown,Alberta
HCP000152,Dr. Jessica Rodriguez DDS,Oncology,5,Medium,T019,Territory 019,REP019,Lisa Jackson,Jonesland,Northwest Territories
HCP000153,Ana Hill,Oncology,6,Medium,T019,Territory 019,REP019,Lisa Jackson,Oscarhaven,Newfoundland and Labrador
HCP000154,Larry Garcia,Cardiology,5,Medium,T019,Territory 019,REP019,Lisa Jackson,Port Dianaside,Saskatchewan
HCP000155,Jessica Beasley,Pulmonology,10,High,T001,Territory 001,REP001,Allison Hill,Morganmouth,Nova Scotia
HCP000156,Brandon Simmons,Neurology,2,Low,T015,Territory 015,REP015,Dylan Miller,Nicholasberg,Quebec
HCP000157,Andrea Decker,Endocrinology,6,Medium,T003,Territory 003,REP003,Angie Henderson,South Colinstad,Yukon Territory
HCP000158,Anthony Frye,Primary Care,7,Medium,T003,Territory 003,REP003,Angie Henderson,Elizabethchester,Northwest Territories
HCP000159,Teresa Henderson,Primary Care,5,Medium,T015,Territory 015,REP015,Dylan Miller,West Carolinestad,British Columbia
HCP000160,Christy Douglas,Cardiology,5,Medium,T017,Territory 017,REP017,Holly Wood,Port Daniel,Ontario
HCP000161,Phillip Andrews,Oncology,4,Medium,T011,Territory 011,REP011,Monica Herrera,Bruceside,Alberta
HCP000162,Mary Steele,Pulmonology,2,Low,T019,Territory 019,REP019,Lisa Jackson,East Joshuaport,Northwest Territories
HCP000163,Christopher Thomas,Neurology,9,High,T014,Territory 014,REP014,Michele Williams,Jonestown,British Columbia
HCP000164,Cindy Barnes,Pulmonology,2,Low,T006,Territory 006,REP006,Connie Lawrence,Ericport,Saskatchewan
HCP000165,Todd Carlson,Primary Care,7,Medium,T003,Territory 003,REP003,Angie Henderson,East Ericton,Quebec
HCP000166,Jeremy Coleman,Primary Care,9,High,T014,Territory 014,REP014,Michele Williams,Perryborough,Yukon Territory
HCP000167,Haley Rodriguez,Oncology,4,Medium,T010,Territory 010,REP010,Ryan Munoz,Roseport,Alberta
HCP000168,William Brown,Pulmonology,3,Low,T003,Territory 003,REP003,Angie Henderson,West Sierra,Yukon Territory
HCP000169,David Murphy,Primary Care,7,Medium,T019,Territory 019,REP019,Lisa Jackson,South Julieburgh,Manitoba
HCP000170,Michael Mason,Endocrinology,2,Low,T001,Territory 001,REP001,Allison Hill,Charleston,Nova Scotia
HCP000171,Thomas Atkins,Neurology,8,High,T020,Territory 020,REP020,Carla Gray,Berrychester,Newfoundland and Labrador
HCP000172,Alex Nguyen,Neurology,2,Low,T005,Territory 005,REP005,Cristian Santos,Collierstad,British Columbia
HCP000173,Brian Graham,Endocrinology,9,High,T003,Territory 003,REP003,Angie Henderson,Warrenfurt,Newfoundland and Labrador
HCP000174,Connie Maxwell,Primary Care,8,High,T016,Territory 016,REP016,Brian Ramirez,New Cynthiahaven,Ontario
HCP000175,Ricardo Bell,Cardiology,3,Low,T003,Territory 003,REP003,Angie Henderson,East Curtis,Newfoundland and Labrador
HCP000176,Lance Wolf,Endocrinology,7,Medium,T003,Territory 003,REP003,Angie Henderson,East Stephaniefort,Nunavut
HCP000177,Olivia Cole,Oncology,8,High,T009,Territory 009,REP009,Gabrielle Davis,Michellemouth,Manitoba
HCP000178,John Welch,Primary Care,3,Low,T004,Territory 004,REP004,Daniel Wagner,Brittanystad,Ontario
HCP000179,Joel Johnson,Endocrinology,7,Medium,T011,Territory 011,REP011,Monica Herrera,Marieland,Quebec
HCP000180,Savannah Gilbert,Endocrinology,2,Low,T020,Territory 020,REP020,Carla Gray,Fordside,Yukon Territory
HCP000181,Amanda Stout,Oncology,1,Low,T005,Territory 005,REP005,Cristian Santos,West Cassidy,Ontario
HCP000182,Antonio Garcia,Primary Care,3,Low,T018,Territory 018,REP018,Derek Zuniga,Toniland,Ontario
HCP000183,Amanda Zimmerman,Cardiology,3,Low,T008,Territory 008,REP008,Gina Moore,Warrenburgh,Northwest Territories
HCP000184,Douglas Ortiz,Endocrinology,8,High,T020,Territory 020,REP020,Carla Gray,Erikaton,Yukon Territory
HCP000185,Felicia Rivera,Pulmonology,6,Medium,T009,Territory 009,REP009,Gabrielle Davis,Mitchellberg,Northwest Territories
HCP000186,Matthew Rangel,Endocrinology,4,Medium,T003,Territory 003,REP003,Angie Henderson,Tammyfurt,Manitoba
HCP000187,Teresa Collins,Pulmonology,7,Medium,T006,Territory 006,REP006,Connie Lawrence,Schneidermouth,Manitoba
HCP000188,Sandra Rodgers,Cardiology,3,Low,T013,Territory 013,REP013,Lisa Hensley,Lake Ellenhaven,Northwest Territories
HCP000189,Eric Bean,Primary Care,5,Medium,T019,Territory 019,REP019,Lisa Jackson,Staceyfort,New Brunswick
HCP000190,Chad Jones,Primary Care,3,Low,T010,Territory 010,REP010,Ryan Munoz,New Kellihaven,Alberta
HCP000191,Sherri Williamson,Endocrinology,4,Medium,T013,Territory 013,REP013,Lisa Hensley,Mooreburgh,Saskatchewan
HCP000192,Rhonda Martin,Cardiology,6,Medium,T009,Territory 009,REP009,Gabrielle Davis,Williamsstad,Quebec
HCP000193,Tracy Bishop,Endocrinology,5,Medium,T017,Territory 017,REP017,Holly Wood,Youngbury,Newfoundland and Labrador
HCP000194,Rachel Mckee,Primary Care,4,Medium,T005,Territory 005,REP005,Cristian Santos,West Erika,Prince Edward Island
HCP000195,Mrs. Diane Reyes,Primary Care,5,Medium,T010,Territory 010,REP010,Ryan Munoz,Burchborough,Yukon Territory
HCP000196,Shelley Williams,Endocrinology,6,Medium,T010,Territory 010,REP010,Ryan Munoz,Sawyerside,British Columbia
HCP000197,Kelli Martinez,Endocrinology,7,Medium,T011,Territory 011,REP011,Monica Herrera,Port Ethanmouth,Ontario
HCP000198,Jeffrey Potts,Oncology,4,Medium,T013,Territory 013,REP013,Lisa Hensley,Port Shannon,Northwest Territories
HCP000199,Jennifer Sanders,Endocrinology,6,Medium,T004,Territory 004,REP004,Daniel Wagner,Joeland,Northwest Territories
HCP000200,Fernando Garcia,Cardiology,5,Medium,T009,Territory 009,REP009,Gabrielle Davis,Laceyberg,Alberta
HCP000201,Ronald Horton,Pulmonology,7,Medium,T012,Territory 012,REP012,Jamie Arnold,Port Janice,Nunavut
HCP000202,Susan Smith,Cardiology,6,Medium,T018,Territory 018,REP018,Derek Zuniga,Port Edward,Saskatchewan
HCP000203,Jenny Parsons,Neurology,8,High,T005,Territory 005,REP005,Cristian Santos,West David,New Brunswick
HCP000204,Riley Bryant,Primary Care,5,Medium,T007,Territory 007,REP007,Abigail Shaffer,Port Rebeccaside,Alberta
HCP000205,Laura Higgins,Primary Care,2,Low,T018,Territory 018,REP018,Derek Zuniga,Rubenstad,New Brunswick
HCP000206,Chelsea Barnett,Primary Care,4,Medium,T017,Territory 017,REP017,Holly Wood,Carloshaven,Ontario
HCP000207,Virginia Spencer,Oncology,3,Low,T015,Territory 015,REP015,Dylan Miller,Markston,Quebec
HCP000208,James Burgess,Neurology,1,Low,T007,Territory 007,REP007,Abigail Shaffer,Kristinastad,New Brunswick
HCP000209,Lori Ingram,Primary Care,8,High,T009,Territory 009,REP009,Gabrielle Davis,Dennisstad,Ontario
HCP000210,Marvin Greer,Primary Care,6,Medium,T008,Territory 008,REP008,Gina Moore,Pollardfort,Quebec
HCP000211,Chad Baldwin,Pulmonology,5,Medium,T011,Territory 011,REP011,Monica Herrera,Johnsonborough,Alberta
HCP000212,Stacey Stewart,Primary Care,8,High,T020,Territory 020,REP020,Carla Gray,Zacharyside,Nunavut
HCP000213,Paul Lee,Cardiology,7,Medium,T003,Territory 003,REP003,Angie Henderson,Michelleton,Quebec
HCP000214,Caleb Richardson,Primary Care,6,Medium,T015,Territory 015,REP015,Dylan Miller,Paulfurt,Northwest Territories
HCP000215,Kathleen Jimenez,Primary Care,3,Low,T016,Territory 016,REP016,Brian Ramirez,Lauriechester,British Columbia
HCP000216,Zachary White,Neurology,3,Low,T011,Territory 011,REP011,Monica Herrera,Manuelland,Northwest Territories
HCP000217,Elizabeth Morrison,Neurology,10,High,T020,Territory 020,REP020,Carla Gray,Jacksonmouth,Northwest Territories
HCP000218,Nicholas Buck,Primary Care,10,High,T012,Territory 012,REP012,Jamie Arnold,Hillton,British Columbia
HCP000219,Jennifer Palmer,Primary Care,5,Medium,T017,Territory 017,REP017,Holly Wood,North Douglas,Prince Edward Island
HCP000220,Jessica Martinez,Cardiology,7,Medium,T008,Territory 008,REP008,Gina Moore,Port Deanna,Northwest Territories
HCP000221,Keith Jacobs,Primary Care,5,Medium,T019,Territory 019,REP019,Lisa Jackson,Rushstad,Nunavut
HCP000222,Laura Moreno,Primary Care,9,High,T004,Territory 004,REP004,Daniel Wagner,Edwardsview,New Brunswick
HCP000223,Allison Lopez,Cardiology,4,Medium,T004,Territory 004,REP004,Daniel Wagner,Mcintyreville,Newfoundland and Labrador
HCP000224,Michele Lewis,Cardiology,6,Medium,T006,Territory 006,REP006,Connie Lawrence,Heatherfort,New Brunswick
HCP000225,Samuel Hayes,Neurology,2,Low,T006,Territory 006,REP006,Connie Lawrence,Osbornmouth,Quebec
HCP000226,Austin Daniels,Endocrinology,6,Medium,T005,Territory 005,REP005,Cristian Santos,Melissaburgh,Yukon Territory
